gene	pLI
C1orf64	0.00965914176635891
CASP9	0.0114222211414468
FBXO42	0.989585391371345
PADI1	8.37770559459858e-10
CROCC	2.87927151002589e-17
ATP13A2	0.164544692716997
ARHGEF10L	0.190591844052158
PADI2	5.05440962981964e-05
PADI4	1.71434058575212e-08
SDHB	0.146088699383764
NECAP2	0.00157502950852342
MFAP2	0.000544948399030238
SPATA21	1.04112641765785e-05
RCC2	0.901466242610429
NBPF1	0.00184066691036316
SZRD1	0.713454734367657
IGSF21	0.431591101946772
PADI3	7.0529660337324e-09
ACTL8	0.0644459551051647
UBR4	1
KLHDC7A	1.09095730875974e-09
CAPZB	0.846240366761453
AKR7A3	2.45767211622286e-10
TMCO4	1.22854669801548e-12
NBL1	0.0991631187940607
ALDH4A1	0.00114456350419794
EMC1	3.04498462876768e-13
PAX7	0.965887184615529
HTR6	0.0343343065419883
AKR7L	0.00356486300417966
TAS1R2	2.0429501923931e-10
PQLC2	0.000518156074630848
OTUD3	1.38555611848876e-05
MINOS1	0.333098436537952
IFFO2	0.761454347101163
AKR7A2	0.000120550417852442
MINOS1-NBL1	0.0639923762610921
RNF186	0.00194541369028923
MRTO4	0.831048879987899
NBPF3	2.62926288804738e-12
PINK1	8.33624867471036e-06
DDOST	0.344882561641227
EIF4G3	0.999999204704084
CDA	0.774275342611475
PLA2G5	0.00103305541487954
ECE1	0.999376440541219
CAMK2N1	0.142725670871727
PLA2G2F	1.30680035543837e-06
MUL1	1.82222956310497e-06
SH2D5	0.0501979780207959
KIF17	3.5646329485564e-13
PLA2G2A	0.377773348330882
PLA2G2D	0.000975246122565544
PLA2G2C	0.000443209092561195
PLA2G2E	0.00027156614245922
UBXN10	0.000211272096928475
HP1BP3	0.997025345622041
RAP1GAP	0.999470655945721
EPHA8	1.01479270812578e-07
C1QB	0.0801622395698579
ZBTB40	1.97994981176541e-05
C1QC	0.0904300700562001
LUZP1	0.491306025650277
CELA3A	3.26276698772555e-07
EPHB2	0.999865665387738
LDLRAD2	0.000134141873625419
ALPL	0.00314582102227229
CDC42	0.615716856763145
C1QA	0.0425213797855659
WNT4	0.795070188482721
CELA3B	8.9985042952145e-08
USP48	0.9999974490613
HTR1D	0.802607717859123
HSPG2	0.00905426828357228
KDM1A	0.9987885788442
MDS2	0.0414538738538927
HNRNPR	0.998238517564875
RPL11	0.682423700335902
ZNF436	0.895783928136995
IL22RA1	0.179977996373123
TCEB3	0.999975886095164
C1orf213	0.0018400045605254
LYPLA2	0.971340236045699
FUCA1	8.43692550708555e-07
TCEA3	0.0172180620235923
GALE	1.08949920240639e-06
E2F2	0.884130784405853
HMGCL	0.00168832911797856
PITHD1	0.325275716467592
ID3	0.684801861224271
MYOM3	7.43239136639816e-21
CNR2	8.20288697304192e-05
ASAP3	1.52464217381996e-09
TMEM50A	0.286613113276336
C1orf63	1.06057261927914e-08
RCAN3	0.00238457022359873
MAN1C1	0.382737551279301
MTFR1L	0.756531437960018
IFNLR1	0.239181626211468
RHD	0.0201397740695185
TMEM57	0.99939879294682
SYF2	0.134255727577245
RUNX3	0.596430656178381
CLIC4	0.0429148091673933
RHCE	0.795144181636958
NIPAL3	0.516846887939261
NCMAP	0.287954801817258
GRHL3	0.991206094241107
LDLRAP1	0.000811840290430641
SRRM1	0.99999487705273
STPG1	6.16496395614306e-05
SEPN1	1.31096134269742e-05
UBXN11	1.96132917368516e-10
LIN28A	0.173600014749629
CATSPER4	9.15389499483327e-05
FAM110D	0.560725119502746
AUNIP	3.12428182194934e-05
CNKSR1	1.49346053655531e-12
ZNF683	0.00620569616209997
CEP85	0.247478430663194
PAFAH2	5.81718841117045e-06
PDIK1L	0.7264277348494
DHDDS	0.880319571524504
AIM1L	2.20870369157335e-05
STMN1	0.611993826005902
SLC30A2	0.627095497574594
SH3BGRL3	0.78366169667451
ZNF593	0.141159527578116
TRIM63	1.60548852395836e-11
EXTL1	2.84593273214908e-12
PAQR7	0.044111029892113
CD52	0.538955758461371
FCN3	0.0117068763608227
WDTC1	0.998349946093765
PIGV	0.00131043744973649
ARID1A	0.999999973525484
HMGN2	0.781609817082102
TMEM222	0.254170839020963
SFN	0.468719748157971
CD164L2	0.0286881443725181
MAP3K6	8.765126391736e-13
GPATCH3	6.69837064198459e-05
RPS6KA1	0.844072799198121
SYTL1	2.07599389678314e-06
ZDHHC18	0.000743828855569381
NUDC	0.940141343004063
GPN2	0.0277873317642199
FAM46B	0.0437222343019179
NR0B2	4.12069509579711e-08
SLC9A1	0.980002558951211
C1orf172	0.123382232515685
XKR8	8.43667800314378e-06
STX12	0.861555459142064
EYA3	0.997749470487942
PPP1R8	0.941765148226116
FGR	0.374834363738868
IFI6	0.630018445129864
SESN2	0.00227585782283223
FAM76A	0.0110580210997171
ATPIF1	0.0497836552311644
AHDC1	0.998757086226672
MED18	0.00035746570977011
PTAFR	0.410896477279392
GPR3	0.0186961739819335
THEMIS2	0.206900593645278
WASF2	0.992225248021237
SMPDL3B	4.4467888321649e-07
DNAJC8	0.817967683945973
RPA2	0.850892529369718
SRSF4	0.974253810282699
OPRD1	0.388196059258578
SNRNP40	0.751345418412317
PHACTR4	0.00900626849918969
TAF12	0.876989216238534
SDC3	0.496912320198022
LAPTM5	0.689949212622387
RCC1	0.129980586835313
PUM1	0.999994745636107
PTPRU	0.997494333769248
ZCCHC17	0.845539769832696
GMEB1	0.987933911585049
TMEM200B	0.477709560096859
EPB41	0.351200580225035
RAB42	0.00260563082029905
TRNAU1AP	0.992145729364578
MATN1	0.388209103757447
NKAIN1	0.578558443879969
YTHDF2	0.986984336641709
MECR	0.229367773796565
FABP3	0.738351950732932
EIF3I	0.926452373339827
COL16A1	2.8647724761044e-10
CCDC28B	7.10032382581899e-06
PEF1	0.67424478134784
BAI2	0.974202352898779
SERINC2	3.30807875799395e-06
KPNA6	0.972697574727416
AC114494.1	0.171123218667365
PTP4A2	0.718554241711872
SPOCD1	9.2928493685086e-05
TXLNA	0.993299581828776
HCRTR1	0.569406329011548
IQCC	3.98106772860377e-06
TMEM234	0.000357595858155978
DCDC2B	2.95171886849407e-07
TINAGL1	0.819671989300103
KHDRBS1	0.984124797443228
TMEM39B	0.0726076206722177
BSDC1	0.374238077432063
TMEM54	0.483735413485055
TSSK3	0.754069225401403
FAM167B	0.00229251445344849
ZBTB8B	0.386402572820133
HPCA	0.413399504831912
MARCKSL1	0.652546129601596
KIAA1522	0.699488296738859
ZBTB8A	0.0763184937705828
ZBTB8OS	0.943608350224519
FNDC5	0.773446670811943
HDAC1	0.87890969591925
SYNC	0.147980867711309
RNF19B	0.505817194063183
RBBP4	0.98182795319208
YARS	0.0223585388155627
LCK	0.998836032776
S100PBP	0.984550301334648
PHC2	0.755193497909597
TRIM62	0.00639231620239234
SFPQ	0.998879726547806
SMIM12	0.418628872981838
ADC	0.00733343403321291
ZMYM1	0.000676192905932593
GJB3	0.00210107856271995
C1orf94	0.0153763584382108
AK2	0.111272275570326
A3GALT2	3.6237402371872e-07
GJA4	0.214042921174138
DLGAP3	0.99924989418488
GJB4	1.67692241937531e-05
ZNF362	0.979014711779611
ZSCAN20	0.82859526592152
ZMYM4	0.999999380981749
ZMYM6	2.01807255205722e-08
HMGB4	6.8480472062897e-05
GJB5	5.8159263078649e-05
COL8A2	0.911893375169611
KIAA0319L	0.978183153135027
TEKT2	1.32263988431027e-09
AGO3	0.999995542205947
ADPRHL2	0.00217066194144027
AGO4	0.993238034844531
C1orf216	0.0218344841329723
MAP7D1	0.942151160827561
CLSPN	0.990163507249386
PSMB2	0.963217964852645
AGO1	0.999997773456252
NCDN	0.994596962584077
EVA1B	0.655536880190245
THRAP3	0.99998807609363
SH3D21	0.000562246043354996
TRAPPC3	0.795605936133432
TFAP2E	0.02272769438899
LSM10	0.619141443805262
STK40	0.987246706289767
DNALI1	2.8340852483374e-06
EPHA10	2.71252031023102e-17
CDCA8	0.0579569234852679
ZC3H12A	0.970693848437636
MTF1	0.981973490875919
C1orf122	0.128546469878375
CSF3R	7.84877129523526e-05
OSCP1	0.00231831423704799
SF3A3	0.999697781745075
RSPO1	0.00214164839653624
FHL3	0.819550189183844
MRPS15	0.00110486481754276
GNL2	0.214772620650532
SNIP1	0.968864370821187
GRIK3	0.999933317233134
YRDC	0.119817869717062
MANEAL	0.0947321030577903
INPP5B	4.77954392194536e-08
MEAF6	0.649922387299465
C1orf109	2.73023621369608e-06
PPIE	0.972947454580662
KIAA0754	0.0740132593035707
PABPC4	0.983439383513814
NT5C1A	0.000307955939036326
GJA9	1.49337168630293e-05
HPCAL4	0.0162209401532608
HEYL	0.00112801644362998
MYCBP	0.728489225232374
UTP11L	4.06329053696398e-06
MYCL	0.709171355819783
BMP8A	0.394955403436796
TRIT1	1.77540730357011e-08
RRAGC	0.851358930460075
BMP8B	0.732635834052649
MACF1	1
AKIRIN1	0.900557264864956
NDUFS5	0.365684093822165
RHBDL2	1.34626247240869e-06
PPT1	1.98073731986367e-05
RLF	0.999999420849768
ZFP69	2.51063421091388e-06
CTPS1	0.993345041044453
SCMH1	0.33106007980879
TMCO2	0.034191321868687
KCNQ4	0.998865260324414
EXO5	0.00492933923630568
SLFNL1	6.89329121001927e-05
ZFP69B	1.27755784635706e-08
SMAP2	0.00728789806635282
FOXO6	0.457351379294758
COL9A2	0.25773886963403
NFYC	0.844528870790224
ZMPSTE24	3.311386311688e-07
RIMS3	0.0282919722129187
CITED4	0.383755562562962
CAP1	0.792134201633784
ZNF684	0.00165840142065299
MFSD2A	0.966047102428262
HIVEP3	0.837810818017738
FOXJ3	0.990022937411329
PPCS	0.00265164788161477
ZNF691	0.40171870843236
C1orf50	0.00563342491747778
ZMYND12	0.00360818504887349
SLC2A1	0.982100364400937
YBX1	0.986121573499434
GUCA2A	0.00569756934344973
CLDN19	0.155753069412397
GUCA2B	0.700810477125467
PPIH	0.00334899017812912
CCDC23	0.212016951803792
FAM183A	0.0252041624207827
LEPRE1	1.96457738713731e-12
EDN2	0.0087917081032531
ERMAP	0.00102626258621008
CCDC30	6.93043732303053e-12
RIMKLA	0.688476478474195
EBNA1BP2	6.29109824225945e-06
PTPRF	0.999999463620052
ATP6V0B	0.912039397105944
C1orf210	0.00850348559314983
B4GALT2	0.228173958080324
KDM4A	0.99997189762945
WDR65	1.49009712309823e-07
HYI	1.18726247357179e-07
MPL	2.9813040628331e-06
DPH2	0.00383618202235403
SLC6A9	0.0199596023687268
ARTN	0.285754544417826
SZT2	0.0102813956371736
IPO13	0.903004933218711
CDC20	0.00236023615449123
MED8	3.2357897955171e-05
TMEM125	0.00371629336993264
ST3GAL3	0.411454449734177
ELOVL1	0.1724115041449
CCDC24	7.60520834216041e-09
TIE1	5.52039925940733e-11
PTCH2	2.6799546360488e-08
MUTYH	1.21841893780195e-12
RNF220	0.998296747259184
ZSWIM5	0.0319965118896696
KLF17	2.08580761943153e-08
TCTEX1D4	0.210377955696757
DMAP1	0.888557909398949
KIF2C	0.119481571388201
TMEM53	0.16489186022131
BEST4	0.00205457425408726
RPS8	0.954866877059306
HPDL	0.0113405482259825
UROD	0.000419244534840873
ERI3	0.337021897473975
EIF2B3	0.907840543427211
PLK3	0.00389076014950854
HECTD3	0.118906215409668
TOE1	1.8360662842351e-08
MAST2	9.38473930056013e-10
CCDC163P	0.129258678692207
PIK3R3	1.82265374590277e-05
UQCRH	0.19230394863642
PRDX1	9.48894314344049e-07
MMACHC	1.89250257973884e-13
NSUN4	3.90586109337559e-06
CCDC17	1.4256040226626e-11
NASP	0.287145270604449
FAAH	2.26973485095261e-07
RAD54L	2.14578755940767e-13
POMGNT1	1.78751579561236e-06
LURAP1	0.197179622140192
TSPAN1	0.000477610953528316
TMEM69	0.000214446475103348
TESK2	3.86966055289185e-06
IPP	0.0067978277655366
AKR1A1	6.16284307483523e-05
LRRC41	0.999568480717775
GPBP1L1	0.920576360502516
MOB3C	0.0258626089710884
MKNK1	0.00328090593520184
CYP4B1	1.41360441825791e-08
STIL	0.684795011542751
CYP4Z1	2.4012024884843e-06
ATPAF1	0.181039063298526
CMPK1	0.275580037289385
PDZK1IP1	0.000376693796749056
CYP4X1	7.16975952263556e-07
TAL1	0.811906646364327
KNCN	0.0292290226816419
TRABD2B	0.39582730058205
DMBX1	0.901869006874332
EFCAB14	0.00208942620086613
CYP4A11	2.73120552083852e-15
CYP4A22	3.07075985445586e-08
RNF11	0.783655046948096
BEND5	0.0927625569364941
TXNDC12	0.294981197358856
CDKN2C	0.711154352252021
FAF1	0.998521986138324
ZFYVE9	0.961758687664991
OSBPL9	0.999084581956484
TTC39A	0.0491161378514513
EPS15	0.713990279558508
SLC5A9	6.58374343658018e-12
BTF3L4	0.424442677778289
ELAVL4	0.968526597870256
AGBL4	1.82468367003998e-06
RAB3B	0.139573623734113
NRD1	0.867540555614289
KTI12	0.151950336088097
SPATA6	3.77834786525116e-10
ZCCHC11	0.999999991610531
SCP2	0.00178353605924025
NDC1	0.993854144656469
DMRTB1	0.554282998384031
GLIS1	0.283111115933806
MAGOH	0.926324144800846
ZYG11B	0.999810956253944
CC2D1B	3.38981837304847e-09
CPT2	0.000535162222662795
C1orf123	6.36583924172256e-07
ORC1	0.00026388036020668
GPX7	0.000782131206216728
SELRC1	0.150081953316061
ECHDC2	1.40373101149493e-05
FAM159A	0.000228635716871627
PODN	0.000226311951369003
LRP8	0.999957301781382
PRPF38A	0.993078747825029
SLC1A7	6.55182451114801e-05
ACOT11	2.10377229994243e-11
HSPB11	0.025486245698873
CYB5RL	0.00017412039581252
SSBP3	0.999448363378382
YIPF1	0.0596353815535071
DIO1	0.62427430787372
LRRC42	7.10550647742552e-07
PARS2	0.666803225264519
TMEM59	8.4048107742434e-07
MROH7	2.04387196611469e-17
TCEANC2	0.000159223824205
CDCP2	3.9906536179807e-09
TTC4	0.0276862522798211
TTC22	0.00060674028937769
FAM151A	1.20252378177726e-11
LDLRAD1	0.000467312357992944
MRPL37	0.000893006111219902
C1orf177	6.21175458898039e-10
JUN	0.441159046298587
C8A	9.31234411733896e-11
MYSM1	0.455133668569635
TMEM61	0.00361529901259179
FGGY	1.67547143205491e-12
OMA1	8.77230611052099e-10
DHCR24	0.944283732015339
C1orf168	3.28786714902406e-25
C1orf87	3.42808114954012e-17
CYP2J2	1.33667829159604e-10
C8B	2.00630802745567e-08
PPAP2B	0.950932772542804
PCSK9	1.6589012598687e-06
PRKAA2	0.00109716452750245
DAB1	0.99274776163856
USP24	0.999999997891444
TACSTD2	0.206773011949758
BSND	2.6088637713891e-06
HOOK1	6.9213066647204e-05
ALG6	0.444446567570484
NFIA	0.999093317558541
KANK4	1.82233673321086e-08
ITGB3BP	0.000495517628445381
DOCK7	0.986582752982061
ANGPTL3	4.98616023367705e-06
TM2D1	0.0314149820494379
UBE2U	3.22799104474356e-07
PGM1	2.69362586144753e-05
ROR1	0.834406765228377
USP1	0.997602096117169
RAVER2	2.32440982772221e-05
INADL	1.79298531745301e-25
L1TD1	0.000225136792907883
ATG4C	6.83165260274901e-08
EFCAB7	2.01100043825725e-12
CACHD1	0.834359247196649
JAK1	0.999284264615099
SGIP1	0.998690340831794
IL23R	0.335436052075685
C1orf141	0.000117389744095729
MIER1	0.98287105502995
TCTEX1D1	0.00517496224655604
LEPROT	0.0867457977586683
PDE4B	0.837699461437596
INSL5	0.000125985173053422
DIRAS3	0.0368198997989011
SERBP1	0.999691227935054
IL12RB2	4.27683365301712e-05
LEPR	0.999879577913092
WDR78	8.62630447788019e-08
GNG12	0.559785760047242
AK4	0.583951728373452
SLC35D1	0.00581743967380827
DNAJC6	0.997330783970224
GADD45A	0.0998799650964097
TNNI3K	5.83052818651468e-33
PTGER3	0.939804197254959
TYW3	0.371502323785985
CRYZ	3.12768021974601e-15
FPGT	1.91154562639743e-06
SRSF11	0.999525547644712
ZRANB2	0.984806609439037
DEPDC1	9.62438924058136e-05
WLS	0.203246424460134
NEGR1	0.929006637287431
C1orf173	2.38706253830972e-29
CTH	0.00321633427441773
LRRC7	0.999999934307246
ANKRD13C	0.997939731223411
RPE65	1.11540599455792e-05
FPGT-TNNI3K	5.94355176101625e-33
HHLA3	0.0411171969695294
LRRC40	4.0235845822422e-17
LRRIQ3	7.27193375126055e-15
IFI44	1.7135754917952e-10
SLC44A5	0.0465051496107225
FUBP1	0.999921931872436
DNAJB4	0.803952638406165
ST6GALNAC5	0.814855197895496
RABGGTB	0.734339054864155
NEXN	0.00511689375651264
PIGK	0.0440875540015952
IFI44L	8.37877591271084e-10
LHX8	0.580844822723189
ST6GALNAC3	0.140623726644223
ASB17	0.00502135557349734
GIPC2	1.63109004712027e-07
ACADM	5.34293728836624e-06
MSH4	1.83239269942467e-13
PTGFR	0.722399886389742
AK5	0.279709799858589
ZZZ3	0.999846402983504
USP33	0.999424449166173
FAM73A	0.0015694682688668
C1orf52	0.344420363787006
WDR63	0.000150280561748836
LPHN2	0.999999667791158
LPAR3	0.775925312604898
DDAH1	0.131924138849447
SAMD13	0.116164040749467
ELTD1	4.10423351680383e-05
MCOLN2	2.12856998833718e-08
PRKACB	0.489490129477388
SYDE2	2.39664728347456e-10
DNASE2B	1.22357276190102e-14
BCL10	0.0959518578213258
SSX2IP	0.198205886433294
CYR61	0.848087744259044
MCOLN3	8.51129425714463e-07
TTLL7	0.68179917842757
RPF1	3.07334867397216e-06
CTBS	6.66861035646553e-06
GNG5	0.534265222007697
SH3GLB1	0.905107803305328
CCBL2	7.18355167032079e-08
SEP15	0.404492585476501
GBP4	3.02679384307767e-10
ODF2L	6.40822107863674e-09
COL24A1	1.24921361571971e-20
HS2ST1	0.424345311215589
GTF2B	0.764735790700598
GBP7	9.33342718135396e-12
CLCA4	7.54809143896442e-10
PKN2	0.99998084448791
RP5-1052I5.2	0.0625111691955515
GBP1	2.76633845866641e-10
CLCA1	1.08458303250069e-05
ZNHIT6	0.00164415850092615
CLCA2	1.32458176099581e-19
GBP3	1.12316523024484e-15
RBMXL1	0.930968279541001
GBP2	0.000271497271051592
LMO4	0.801789586212548
GBP6	4.38817986880287e-09
HFM1	1.92602163078651e-17
CDC7	0.236770474770372
BTBD8	4.99466358575075e-06
BARHL2	0.197330839062461
ZNF326	0.950973528136379
GBP5	2.20264103999458e-05
GLMN	0.00124780244971736
ZNF644	0.998630486036612
EPHX4	0.105621082214761
C1orf146	0.0184548934116377
GFI1	0.022601660042753
LRRC8C	0.0102525082845458
EVI5	3.78468575961917e-06
RPAP2	0.00553996592296897
TGFBR3	0.363793444864738
BRDT	2.08780513728659e-05
LRRC8B	0.741212869981713
LRRC8D	0.957991778120507
ABCD3	0.999744635020598
FAM69A	0.083873409302877
TMEM56	0.29077920648286
ARHGAP29	0.999932636748985
ABCA4	1.53177458885137e-26
F3	0.383422439935655
CNN3	0.825643125338951
RPL5	0.99167071960242
BCAR3	0.992240610326903
RWDD3	0.000762285884295203
MTF2	0.987694789187659
TMED5	0.0112347182246483
DR1	0.822029262446391
FNBP1L	0.938016214719501
ALG14	0.000575907441017056
SLC44A3	2.76157197772889e-24
DNTTIP2	0.00336122635728604
RP11-57H12.6	0.0019998388973161
GCLM	0.356222617120285
SNX7	0.0921729072391426
DBT	0.00043029258126209
FRRS1	6.87465597475951e-07
HIAT1	0.993463532445687
LPPR4	0.950729596492883
TRMT13	8.45547689899563e-05
SLC30A7	0.34282540251748
LPPR5	0.940604040099855
DPYD	5.43800172200594e-09
CDC14A	0.00652192013190571
PTBP2	0.996884132945573
LRRC39	0.0256040276303543
AGL	2.8369312061455e-14
GPR88	0.747611957596715
VCAM1	0.66919134150691
RTCA	0.00883368313861555
SASS6	0.00051115656598372
EXTL2	1.8185825021823e-05
PALMD	0.113728586247547
SLC35A3	0.0495238946067704
SLC25A24	1.13443457150413e-08
AMY1C	0.831405134089981
HENMT1	5.53071403782997e-06
OLFM3	0.000225630275998534
RNPC3	0.535647169757449
AMY2B	1.999253316402e-09
NTNG1	0.70018570303471
FAM102B	0.0296417306667412
PRMT6	0.0967933170282982
AMY2A	0.0228876886278268
S1PR1	0.822346913235036
AC093157.1	0.15894475584986
NBPF4	0.37223593515807
PRPF38B	0.995101993993628
DPH5	0.00724395145882692
NBPF6	0.0945629199300572
VAV3	0.0207245567471436
AMY1A	0.35264362382147
COL11A1	0.999995613526066
ATXN7L2	0.596792758087497
PSRC1	5.57356141184855e-06
TMEM167B	0.631270305040023
KIAA1324	2.82334014023083e-08
TAF13	0.0805393673214182
WDR47	0.776970635396142
SORT1	0.999776106933545
PSMA5	0.964792685412764
MYBPHL	0.000535040471024315
CELSR2	0.999999995527824
CLCC1	0.0738061589093883
SARS	0.998071256907743
STXBP3	1.46945651249485e-05
C1orf194	1.53308207557934e-05
AKNAD1	8.73868842798946e-17
AMIGO1	0.876058762762992
FNDC7	0.000186009647594648
SYPL2	0.0130997306969399
CYB561D1	0.0142298111660557
GPSM2	4.44572815295345e-10
SLC6A17	0.933270390169195
GPR61	0.765890213085012
GSTM4	0.00376928065702536
GNAI3	0.024928798792214
CSF1	0.982322251710871
LAMTOR5	0.00571160199778537
ALX3	0.867045139144647
GSTM1	0.29505806434162
GSTM2	0.00622835210244649
GSTM3	0.0113198988338102
RBM15	0.999631822721839
GSTM5	0.000861969971584632
AMPD2	0.00316996609161709
UBL4B	0.006436332037294
EPS8L3	3.53803575797119e-05
KCNC4	0.00201661336775687
GNAT2	0.0263882487216623
AHCYL1	0.999893033020125
SLC16A4	0.0951550810320753
STRIP1	0.202626383982077
DDX20	1.05292689782217e-06
KCNA10	0.00261208147832446
DENND2D	0.000801422313179157
LRIF1	0.000845094698565597
RAP1A	0.920099313505901
ADORA3	0.00437276413600816
DRAM2	0.00094073848664447
KCNA2	0.853699923117514
CHI3L2	0.000103875218131273
CD53	0.0181123717139212
C1orf162	0.0302094478538587
WDR77	0.613716182737158
OVGP1	0.000509800798634699
ATP5F1	0.00893037543463569
PIFO	4.62273980985769e-05
CEPT1	0.922226175914289
FAM212B	0.00272227531541182
PROK1	0.0180767493255618
CHIA	5.40472570520575e-14
DCLRE1B	0.303659108861734
FAM19A3	0.0233072340208544
